ts_utc,league,event_id,event_slug,event_title,event_start,market_id,market_slug,question,token_id,best_bid,best_bid_size,best_ask,best_ask_size,mid,spread,book_hash,tick_size,min_order_size,liquidity,volume
2026-02-25T04:44:19Z,UCL,33506,uefa-champions-league-winner,UEFA Champions League Winner ,2025-07-28T16:48:06.450445Z,566171,will-basel-win-the-202526-champions-league,Will Basel win the 2025–26 Champions League?,"[""70851618102595700525222065641083332144122412910516986707716379654126945256832"", ""80331004762163944299982267791592175029456054741893621171078968875373643994409""]",,,,,,,,,,,97156.974572
2026-02-25T04:44:19Z,UCL,33506,uefa-champions-league-winner,UEFA Champions League Winner ,2025-07-28T16:48:06.450445Z,566172,will-bodo-glimt-win-the-202526-champions-league,Will Bodo Glimt win the 2025–26 Champions League?,"[""62582575185741601914570060329560489452594281062505278063937336145989216796217"", ""42256377489275961318725099478818786100179340185057752937112043662235323118766""]",,,,,,,,,,235836.80584,10853772.791256
2026-02-25T04:44:19Z,UCL,33506,uefa-champions-league-winner,UEFA Champions League Winner ,2025-07-28T16:48:06.450445Z,566173,will-sturm-graz-win-the-202526-champions-league,Will Sturm Graz win the 2025–26 Champions League?,"[""14836345195696748004952172451932599490684048244001454619724357169841418786954"", ""115267640077908442562893405606966361185963289983634493848909992897555498882474""]",,,,,,,,,,0,73689.434072
2026-02-25T04:44:19Z,UCL,33506,uefa-champions-league-winner,UEFA Champions League Winner ,2025-07-28T16:48:06.450445Z,566175,will-any-other-team-win-the-202526-champions-league,Will Any Other Team win the 2025–26 Champions League?,"[""80531071331263012990191812366009377518805686031192948878201246821619505065609"", ""85842065375267583148367765383791056795641428377825701427529766300888881209118""]",,,,,,,,,,0,0
2026-02-25T04:44:19Z,UCL,33506,uefa-champions-league-winner,UEFA Champions League Winner ,2025-07-28T16:48:06.450445Z,566177,will-team-b-win-the-202526-champions-league,Will Team B win the 2025–26 Champions League?,"[""4673079408976118107887674218450891143094456853886765358731460941853479133568"", ""95504573602545051861247740458265427031664026063550204033543451955735625521681""]",,,,,,,,,,0,0
2026-02-25T04:44:19Z,UCL,33506,uefa-champions-league-winner,UEFA Champions League Winner ,2025-07-28T16:48:06.450445Z,566179,will-team-d-win-the-202526-champions-league,Will Team D win the 2025–26 Champions League?,"[""39259701626392073955986970165590267176708531331893914961597359731598482942618"", ""13318648989334231316544833089375455656209815961137304809924606191244579788744""]",,,,,,,,,,0,0
2026-02-25T04:44:19Z,UCL,33506,uefa-champions-league-winner,UEFA Champions League Winner ,2025-07-28T16:48:06.450445Z,566184,will-team-i-win-the-202526-champions-league,Will Team I win the 2025–26 Champions League?,"[""97391541216142156486360597938689688615958309451491457027903098490837051715295"", ""40349306594996880515480830778134222096689476652728393850937106541424421289620""]",,,,,,,,,,0,0
2026-02-25T04:44:19Z,UCL,33506,uefa-champions-league-winner,UEFA Champions League Winner ,2025-07-28T16:48:06.450445Z,566185,will-team-j-win-the-202526-champions-league,Will Team J win the 2025–26 Champions League?,"[""1080728722579132533060466010936987254537802093697459658188459659869439703487"", ""98491776153651052621810720585087413766374760568984767472891511829526970676719""]",,,,,,,,,,0,0
2026-02-25T04:44:19Z,UCL,33506,uefa-champions-league-winner,UEFA Champions League Winner ,2025-07-28T16:48:06.450445Z,566143,will-chelsea-win-the-202526-champions-league,Will Chelsea win the 2025–26 Champions League?,"[""112897182562089723977963146512517116367868000365616072747678090319147961969687"", ""12655741801215963455918354112862966501046753413817436839424508949889159340688""]",,,,,,,,,,241228.63018,2896682.749396
2026-02-25T04:44:19Z,UCL,33506,uefa-champions-league-winner,UEFA Champions League Winner ,2025-07-28T16:48:06.450445Z,566164,will-feyenoord-win-the-202526-champions-league,Will Feyenoord win the 2025–26 Champions League?,"[""110079693613022393791174802599922526596582227687650152169965521618183831918719"", ""8182582899391383556747549556042201703027436173603531545831728435339530405784""]",,,,,,,,,,,331062.991655
2026-02-25T04:44:19Z,UCL,33506,uefa-champions-league-winner,UEFA Champions League Winner ,2025-07-28T16:48:06.450445Z,566176,will-team-a-win-the-202526-champions-league,Will Team A win the 2025–26 Champions League?,"[""61720697790247513338404451002118879060240321256315013215613090730271278108862"", ""26524658565474901404596942658856572991878475163265648723421329317946761495732""]",,,,,,,,,,0,0
